comment,label,rate,Unnamed: 3
Áo bao đẹp ạ!!,positive,5,
Tuyệt vời !,positive,5,
2day ao khong giong trong.,negative,1,
"Mùi thơm,bôi lên da mềm da.",positive,5,
"Vải đẹp, dày dặn.",positive,5,
"Hàng rất đẹp, rất chi là ưng ý.",positive,5,
"Chất lượng sản phẩm tốt, date dài.",positive,5,
Ăn nói và thái độ phục vụ tốt.,positive,4,
Đóng gói sản phẩm chắc chắn.,positive,5,
tất sờn hết ca chưa dùng mà vay r.,negative,2,
Shop phục vụ rất tốt.,positive,5,
Mặc thì cũng đc.,neutral,3,
Chất vải khỏi chê.,positive,5,
Thời gian giao hàng rất nhanh.,positive,5,
Chất lượng sản phẩm tuyệt vời.,positive,4,
vải hơi thô cứng Thời gian giao hàng nhanh.,positive,5,
Chất lượng sp chưa thật sự đẹp nhe shop!,positive,4,
Rất đáng tiền Thời gian giao hàng rất nhanh.,positive,5,
Quần rất đẹp mặc vừa vặn.,positive,5,
Cảm giác mua hàng bị hớ thật tệ!,negative,2,
Khi mua về nên đi sửa lại.,negative,2,
Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.,neutral,3,
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,positive,5,
Giá cả chấp nhận được.,positive,4,
Nchung là rất ổn ❤️.,positive,5,
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.",positive,5,
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng.",positive,5,
😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗.,positive,5,
Giao hàng nhanh.,positive,5,
Thấy khá okz thanks shop.,positive,4,
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều.",positive,5,
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng.",positive,4,
Hàng hoá lừa đảo.,negative,1,
Thời gian giao hàng nhanh.,positive,4,
Ảnh in đẹp.,positive,5,
Giá lại rẻ.,positive,5,
Quần áo super đẹp.,positive,4,
"Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì.",negative,1,
Thank shop!,positive,5,
Tuyệt vời hơn khi mua trên shopee thì được freeship.,positive,5,
Tiếc là ko đặt thêm mấy chiếc.,positive,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,positive,5,
Đồng hồ mua về k sử dụg đc.,negative,1,
Chất mềm mịn mát.,positive,5,
"Giao thiếu 1b 80k , mà im re.",negative,1,
Sản phr rất ưng ý.,positive,5,
Chất lượng sản phẩm tuyệt vời.,positive,5,
mua lần 2 rồi <3.,positive,5,
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực.",negative,1,
Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1 .,positive,5,
99k cũng đáng mua.,positive,5,
"Quần đẹp, vừa form .",positive,5,
Giao hàng nhanh.,positive,5,
"Chất vải xấu, xù.",negative,2,
"Sp tạm được, hơi rộng so vs mình.",neutral,3,
