,sentiment,content
1,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
2,sadness,Funeral ceremony...gloomy friday...
6,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
8,sadness,@charviray Charlene my love. I miss you
9,sadness,@kelcouch I'm sorry  at least it's Friday?
12,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
13,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
15,sadness,The storm is here and the electricity is gone
17,sadness,So sleepy again and it's not even that late. I fail once again.
19,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
24,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
26,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
28,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
36,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
40,happiness,mmm much better day... so far! it's still quite early. last day of #uds
47,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
59,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
61,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63,sadness,@Pokinatcha  in all honesty...pain   blech.
64,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
67,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
69,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
77,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
80,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
82,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
84,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
95,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
96,sadness,dont wanna work 11-830 tomorrow  but i get paid
97,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
103,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
106,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
109,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
116,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
119,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
125,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
126,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
127,sadness,Is miserable  i feel like im gona cry  sux!
132,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
135,sadness,Now I am depressed after watching so you think you can dance
136,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
150,sadness,"Last day working for the Uni today, sad times"
162,sadness,is still missing her husband.    I really want him home.
163,sadness,I miss my puppy
166,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
168,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
171,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
173,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
174,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
183,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
185,sadness,Took a shift tomorrow.    I don't really feel like working right now.
186,sadness,but now i have no money for a phone
191,sadness,Too bad the Red Devils.. disappointing to say the least
193,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
200,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
202,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
204,sadness,is a bad friend
211,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
213,sadness,@lenje - Still a pity it comes with no lamb though
214,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
226,sadness,Had to cancel wow for now
228,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
233,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
234,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
236,sadness,Up late with nothin 2 do.....
242,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
245,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
246,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
250,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
254,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
267,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
268,sadness,It's pissing me off and not letting me follow ericka
269,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
270,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
275,sadness,I haven't seen Muffin in two whole days!
276,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
281,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
291,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
293,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
297,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
301,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
304,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
308,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
313,sadness,my teeth and head hurts
314,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
321,sadness,no more arrested development. i am sad.
323,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
324,sadness,I feel so deflated. No more doggy.
326,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
327,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
328,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
331,sadness,Fuuudge. Movie store is closed
332,sadness,ALO is so sad and quiet and empty tonight
336,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
343,sadness,Sad that Christian Lacroix had to file bankruptcy
344,sadness,I dont feel good AT ALL. fuckkk
351,sadness,Have to go to the dreaded DMV tomorrow
353,happiness,english class! working on interactive orals
361,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
364,sadness,God I just want to sleep.
367,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
370,sadness,@RealBlackWidow But but I dun wanna
371,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
372,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
376,sadness,feels sick to my stomach and idkk whyy
381,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
385,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
386,sadness,@judyrey  The link doesn't work
395,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
396,sadness,my stupid tooooth hurts
399,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
410,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
412,sadness,@Penguin_J heehee. i love you! i am tired.
416,sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
418,sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
425,sadness,@joiskol  being in your room makes me sad.
428,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
429,sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
432,sadness,@meljachin: eww. dislike
435,sadness,"@SuzyDunkley sorry bout the cat,"
441,sadness,missed iron chef
442,sadness,@thevowel the DS version sucks
443,sadness,what a bad day
455,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
459,sadness,went to the cd store to search for the cd. But
461,sadness,I miss my mom..  &quot;May angels lead you in&quot;
465,sadness,@chocolovere i feel the same way every day
466,sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
468,sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
469,sadness,So have a headache right now and it sucks
472,sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
473,sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
475,sadness,misses my baby.
480,sadness,I'm poorly and can't sleep
488,sadness,has work tom.
493,sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
498,sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
499,sadness,@nickkk_ that sucks!
501,sadness,Having Fever  dont feel to work
504,sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
506,sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
508,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
516,sadness,Missing you all deeply
518,happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
519,sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
523,sadness,I don't want her to leave..
525,happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
530,sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
532,sadness,@WillyNorthpole I wish I was there
533,sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
536,sadness,morning again! I hate mornings. So offensive!
538,sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
540,sadness,@brianshead waah. We're no longer your peeps.
541,sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
543,happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
549,sadness,@MariusLT I'm sorry about your bad driving experiences.
551,sadness,Already misses @CMontecillo
557,sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
564,sadness,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
565,sadness,"First my work computer, now my home laptop is fucked."
574,sadness,@joek949 It's depressing I'm stuck inside all day
576,sadness,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
578,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
579,sadness,"Woke Up,I Wanna Stay In My bed"
582,sadness,Upsidedown tomato plants died!
587,sadness,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
588,happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
595,sadness,@prncsztalia why do you hate me!?
598,sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
600,sadness,#jonaswebcast i just missed it!!!!
603,sadness,So exhausted..can't sleep. I don't like these nights
604,sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
607,sadness,@NothinButSin sorry to hear that.
609,sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
615,sadness,finished a whole box of ice cream
624,happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
629,happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
630,sadness,@chrisontv88 btw I am not a wimp
634,sadness,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
637,sadness,I don't wanna go back to work   sleepy time.
645,sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
653,sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
654,sadness,I miss my friend
656,sadness,Yea i just saw this really sad commercial
657,sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
663,sadness,Hates having to sleep alone
667,sadness,I loved johnny carson now I'm going to hate seeing jay leno go
668,sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
671,sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
