File1,File2,sentence,sentiment,topic
slide giáo trình đầy đủ .,positive,,,
"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,,,
đi học đầy đủ full điểm chuyên cần .,negative,,,
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,negative,,,
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,,,
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,,,
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",neutral,,,
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",negative,,,
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative,,,
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,negative,,,
thầy rất tận tình và đi dạy rất đúng giờ .,positive,,,
dễ bị áp lực .,negative,,,
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",neutral,,,
môn học còn dễ cần nâng độ khó lên nữa .,negative,,,
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",negative,,,
hài lòng về tất cả .,positive,,,
"nhiệt tình , vui vẻ .",positive,,,
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,positive,,,
phong cách giảng bài của thầy rất gần gũi với sinh viên !,positive,,,
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,positive,,,
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative,,,
tiết học thoải mái .,positive,,,
"thầy nhiệt tình , quan tâm tới sinh viên .",positive,,,
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,,,
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,,,
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,positive,,,
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,negative,,,
nên biên soạn một tài liệu của chính trường ta .,negative,,,
không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,,,
"bài tập đa dạng , cụ thể .",positive,,,
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,,,
slide up đầy đủ trước mỗi buổi học .,positive,,,
"nội dung giảng dạy quá nhàm chán , khô khan .",negative,,,
lượng kiến thức quá nhiều trong một học kỳ .,negative,,,
thầy chép bảng nhiều .,negative,,,
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,,,
"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,,,
"hay , nhiệt tình , dễ hiểu .",positive,,,
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",negative,,,
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,,,
hy vọng học kỳ sau có thể học được với cô .,positive,,,
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,negative,,,
trong khi giảng nói nhỏ quá .,negative,,,
thực hành khó hiểu .,negative,,,
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,,,
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,,,
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",positive,,,
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",negative,,,
"thầy nhiệt tình , dễ chịu .",positive,,,
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",negative,,,
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,positive,,,
cô rất nhiệt tình và tận dụng tốt thời gian .,positive,,,
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",positive,,,
"thầy nhiệt tình , gần gũi .",positive,,,
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",positive,,,
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,neutral,,,
bài tập và có code tham khảo .,positive,,,
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",negative,,,
tài liệu không chi tiết lắm .,negative,,,
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",positive,,,
thầy dạy rất hay và nhiệt tình .,positive,,,
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",negative,,,
giúp đỡ học sinh quá ít .,negative,,,
cô dạy buồn ngủ quá .,negative,,,
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,negative,,,
thầy tận tình vui tính .,positive,,,
cô lại kiểu khó tính nữa .,negative,,,
tạo hứng thú cho sinh viên .,positive,,,
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,positive,,,
có hứng thú học .,positive,,,
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,neutral,,,
"giảng viên hướng dẫn cụ thể , chi tiết .",positive,,,
giáo trình quá ít và nội dung không khác nhau là mấy .,negative,,,
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",negative,,,
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",negative,,,
"cần có một phòng máy tốt hơn , hiện đại hơn .",negative,,,
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,negative,,,
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",negative,,,
giảng viên đánh giá sai điểm và năng lực của học sinh .,negative,,,
không đáp ứng được đề cương môn học đề ra .,negative,,,
thầy nên hướng dẫn thực hành nhiều hơn .,negative,,,
"giảng viên thân thiện , quan tâm tới sinh viên .",positive,,,
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",negative,,,
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",positive,,,
thầy dạy rất tốt và nhiệt tình .,positive,,,
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",negative,,,
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",negative,,,
bài tập và hoạt động nhóm còn ít .,negative,,,
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",positive,,,
cô hướng dẫn thực hành khá đầy đủ .,positive,,,
được học nhiều kinh nghiệm từ thầy wzjwz163 .,positive,,,
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",positive,,,
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,negative,,,
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,negative,,,
dạy không phù hợp với cách học của em .,negative,,,
giải thích nội dung mới rõ ràng .,positive,,,
lớp học quá đông !,negative,,,
